number,season,episode,airdate,title,tvmaze link
1,1,1,09 Jan 11,"Human Flesh","https://www.tvmaze.com/episodes/7415/bobs-burgers-1x01-human-flesh"
2,1,2,16 Jan 11,"Crawl Space","https://www.tvmaze.com/episodes/7416/bobs-burgers-1x02-crawl-space"
3,1,3,23 Jan 11,"Sacred Cow","https://www.tvmaze.com/episodes/7417/bobs-burgers-1x03-sacred-cow"
4,1,4,13 Feb 11,"Sexy Dance Fighting","https://www.tvmaze.com/episodes/7418/bobs-burgers-1x04-sexy-dance-fighting"
5,1,5,20 Feb 11,"Hamburger Dinner Theater","https://www.tvmaze.com/episodes/7419/bobs-burgers-1x05-hamburger-dinner-theater"
6,1,6,06 Mar 11,"Sheesh! Cab, Bob?","https://www.tvmaze.com/episodes/7420/bobs-burgers-1x06-sheesh-cab-bob"
7,1,7,13 Mar 11,"Bed & Breakfast","https://www.tvmaze.com/episodes/7421/bobs-burgers-1x07-bed-breakfast"
8,1,8,20 Mar 11,"Art Crawl","https://www.tvmaze.com/episodes/7422/bobs-burgers-1x08-art-crawl"
9,1,9,27 Mar 11,"Spaghetti Western and Meatballs","https://www.tvmaze.com/episodes/7423/bobs-burgers-1x09-spaghetti-western-and-meatballs"
10,1,10,10 Apr 11,"Burger War","https://www.tvmaze.com/episodes/7424/bobs-burgers-1x10-burger-war"
11,1,11,08 May 11,"Weekend at Mort's","https://www.tvmaze.com/episodes/7425/bobs-burgers-1x11-weekend-at-morts"
12,1,12,15 May 11,"Lobsterfest","https://www.tvmaze.com/episodes/7426/bobs-burgers-1x12-lobsterfest"
13,1,13,22 May 11,"Torpedo","https://www.tvmaze.com/episodes/7427/bobs-burgers-1x13-torpedo"
14,2,1,11 Mar 12,"The Belchies","https://www.tvmaze.com/episodes/7428/bobs-burgers-2x01-the-belchies"
15,2,2,18 Mar 12,"Bob Day Afternoon","https://www.tvmaze.com/episodes/7429/bobs-burgers-2x02-bob-day-afternoon"
16,2,3,25 Mar 12,"Synchronized Swimming","https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming"
17,2,4,01 Apr 12,"Burgerboss","https://www.tvmaze.com/episodes/7431/bobs-burgers-2x04-burgerboss"
18,2,5,15 Apr 12,"Food Truckin'","https://www.tvmaze.com/episodes/7432/bobs-burgers-2x05-food-truckin"
19,2,6,29 Apr 12,"Dr. Yap","https://www.tvmaze.com/episodes/7433/bobs-burgers-2x06-dr-yap"
20,2,7,06 May 12,"Moody Foodie","https://www.tvmaze.com/episodes/7434/bobs-burgers-2x07-moody-foodie"
21,2,8,13 May 12,"Bad Tina","https://www.tvmaze.com/episodes/7435/bobs-burgers-2x08-bad-tina"
22,2,9,20 May 12,"Beefsquatch","https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch"
23,3,1,30 Sep 12,"Ear-sy Rider","https://www.tvmaze.com/episodes/7437/bobs-burgers-3x01-ear-sy-rider"
24,3,2,07 Oct 12,"Full Bars","https://www.tvmaze.com/episodes/7438/bobs-burgers-3x02-full-bars"
25,3,3,04 Nov 12,"Bob Fires the Kids","https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids"
26,3,4,11 Nov 12,"Mutiny on the Windbreaker","https://www.tvmaze.com/episodes/7440/bobs-burgers-3x04-mutiny-on-the-windbreaker"
27,3,5,18 Nov 12,"An Indecent Thanksgiving Proposal","https://www.tvmaze.com/episodes/7441/bobs-burgers-3x05-an-indecent-thanksgiving-proposal"
28,3,6,25 Nov 12,"The Deepening","https://www.tvmaze.com/episodes/7442/bobs-burgers-3x06-the-deepening"
29,3,7,02 Dec 12,"Tina-Rannosaurus Wrecks","https://www.tvmaze.com/episodes/7443/bobs-burgers-3x07-tina-rannosaurus-wrecks"
30,3,8,09 Dec 12,"The Unbearable Like-Likeness of Gene","https://www.tvmaze.com/episodes/7444/bobs-burgers-3x08-the-unbearable-like-likeness-of-gene"
31,3,9,16 Dec 12,"God Rest Ye Merry Gentle-Mannequins","https://www.tvmaze.com/episodes/7445/bobs-burgers-3x09-god-rest-ye-merry-gentle-mannequins"
32,3,10,06 Jan 13,"Mother Daughter Laser Razor","https://www.tvmaze.com/episodes/7446/bobs-burgers-3x10-mother-daughter-laser-razor"
33,3,11,13 Jan 13,"Nude Beach","https://www.tvmaze.com/episodes/7447/bobs-burgers-3x11-nude-beach"
34,3,12,27 Jan 13,"Broadcast Wagstaff School News","https://www.tvmaze.com/episodes/7448/bobs-burgers-3x12-broadcast-wagstaff-school-news"
35,3,13,10 Feb 13,"My Fuzzy Valentine","https://www.tvmaze.com/episodes/7449/bobs-burgers-3x13-my-fuzzy-valentine"
36,3,14,17 Feb 13,"Lindapendent Woman","https://www.tvmaze.com/episodes/7450/bobs-burgers-3x14-lindapendent-woman"
37,3,15,03 Mar 13,"O.T. The Outside Toilet","https://www.tvmaze.com/episodes/7451/bobs-burgers-3x15-ot-the-outside-toilet"
38,3,16,10 Mar 13,"Topsy","https://www.tvmaze.com/episodes/7452/bobs-burgers-3x16-topsy"
39,3,17,17 Mar 13,"Two for Tina","https://www.tvmaze.com/episodes/7453/bobs-burgers-3x17-two-for-tina"
40,3,18,24 Mar 13,"It Snakes a Village","https://www.tvmaze.com/episodes/7454/bobs-burgers-3x18-it-snakes-a-village"
41,3,19,14 Apr 13,"Family Fracas","https://www.tvmaze.com/episodes/7455/bobs-burgers-3x19-family-fracas"
42,3,20,21 Apr 13,"The Kids Run the Restaurant","https://www.tvmaze.com/episodes/7456/bobs-burgers-3x20-the-kids-run-the-restaurant"
43,3,21,28 Apr 13,"Boyz 4 Now","https://www.tvmaze.com/episodes/7457/bobs-burgers-3x21-boyz-4-now"
44,3,22,05 May 13,"Carpe Museum","https://www.tvmaze.com/episodes/7458/bobs-burgers-3x22-carpe-museum"
