number,season,episode,airdate,title,tvmaze link
1,1,1,19 Sep 05,"Pilot","https://www.tvmaze.com/episodes/12285/how-i-met-your-mother-1x01-pilot"
2,1,2,26 Sep 05,"Purple Giraffe","https://www.tvmaze.com/episodes/12286/how-i-met-your-mother-1x02-purple-giraffe"
3,1,3,03 Oct 05,"Sweet Taste of Liberty","https://www.tvmaze.com/episodes/12287/how-i-met-your-mother-1x03-sweet-taste-of-liberty"
4,1,4,10 Oct 05,"Return of the Shirt","https://www.tvmaze.com/episodes/12288/how-i-met-your-mother-1x04-return-of-the-shirt"
5,1,5,17 Oct 05,"Okay Awesome","https://www.tvmaze.com/episodes/12289/how-i-met-your-mother-1x05-okay-awesome"
6,1,6,24 Oct 05,"Slutty Pumpkin","https://www.tvmaze.com/episodes/12290/how-i-met-your-mother-1x06-slutty-pumpkin"
7,1,7,07 Nov 05,"Matchmaker","https://www.tvmaze.com/episodes/12291/how-i-met-your-mother-1x07-matchmaker"
8,1,8,14 Nov 05,"The Duel","https://www.tvmaze.com/episodes/12292/how-i-met-your-mother-1x08-the-duel"
9,1,9,21 Nov 05,"Belly Full of Turkey","https://www.tvmaze.com/episodes/12293/how-i-met-your-mother-1x09-belly-full-of-turkey"
10,1,10,28 Nov 05,"The Pineapple Incident","https://www.tvmaze.com/episodes/12294/how-i-met-your-mother-1x10-the-pineapple-incident"
11,1,11,19 Dec 05,"The Limo","https://www.tvmaze.com/episodes/12295/how-i-met-your-mother-1x11-the-limo"
12,1,12,09 Jan 06,"The Wedding","https://www.tvmaze.com/episodes/12296/how-i-met-your-mother-1x12-the-wedding"
13,1,13,23 Jan 06,"Drumroll, Please","https://www.tvmaze.com/episodes/12297/how-i-met-your-mother-1x13-drumroll-please"
14,1,14,06 Feb 06,"Zip, Zip, Zip","https://www.tvmaze.com/episodes/12298/how-i-met-your-mother-1x14-zip-zip-zip"
15,1,15,27 Feb 06,"Game Night","https://www.tvmaze.com/episodes/12299/how-i-met-your-mother-1x15-game-night"
16,1,16,06 Mar 06,"Cupcake","https://www.tvmaze.com/episodes/12300/how-i-met-your-mother-1x16-cupcake"
17,1,17,20 Mar 06,"Life Among the Gorillas","https://www.tvmaze.com/episodes/12301/how-i-met-your-mother-1x17-life-among-the-gorillas"
18,1,18,10 Apr 06,"Nothing Good Happens After 2 A.M.","https://www.tvmaze.com/episodes/12302/how-i-met-your-mother-1x18-nothing-good-happens-after-2-am"
19,1,19,24 Apr 06,"Mary the Paralegal","https://www.tvmaze.com/episodes/12303/how-i-met-your-mother-1x19-mary-the-paralegal"
20,1,20,01 May 06,"Best Prom Ever","https://www.tvmaze.com/episodes/12304/how-i-met-your-mother-1x20-best-prom-ever"
21,1,21,08 May 06,"Milk","https://www.tvmaze.com/episodes/12305/how-i-met-your-mother-1x21-milk"
22,1,22,15 May 06,"Come On","https://www.tvmaze.com/episodes/12306/how-i-met-your-mother-1x22-come-on"
23,2,1,18 Sep 06,"Where Were We?","https://www.tvmaze.com/episodes/12307/how-i-met-your-mother-2x01-where-were-we"
24,2,2,25 Sep 06,"The Scorpion and the Toad","https://www.tvmaze.com/episodes/12308/how-i-met-your-mother-2x02-the-scorpion-and-the-toad"
25,2,3,02 Oct 06,"Brunch","https://www.tvmaze.com/episodes/12309/how-i-met-your-mother-2x03-brunch"
26,2,4,09 Oct 06,"Ted Mosby: Architect","https://www.tvmaze.com/episodes/12310/how-i-met-your-mother-2x04-ted-mosby-architect"
27,2,5,16 Oct 06,"World's Greatest Couple","https://www.tvmaze.com/episodes/12311/how-i-met-your-mother-2x05-worlds-greatest-couple"
28,2,6,23 Oct 06,"Aldrin Justice","https://www.tvmaze.com/episodes/12312/how-i-met-your-mother-2x06-aldrin-justice"
29,2,7,06 Nov 06,"Swarley","https://www.tvmaze.com/episodes/12313/how-i-met-your-mother-2x07-swarley"
30,2,8,13 Nov 06,"Atlantic City","https://www.tvmaze.com/episodes/12314/how-i-met-your-mother-2x08-atlantic-city"
31,2,9,20 Nov 06,"Slap Bet","https://www.tvmaze.com/episodes/12315/how-i-met-your-mother-2x09-slap-bet"
32,2,10,27 Nov 06,"Single Stamina","https://www.tvmaze.com/episodes/12316/how-i-met-your-mother-2x10-single-stamina"
33,2,11,11 Dec 06,"How Lily Stole Christmas","https://www.tvmaze.com/episodes/12317/how-i-met-your-mother-2x11-how-lily-stole-christmas"
34,2,12,08 Jan 07,"First Time in New York","https://www.tvmaze.com/episodes/12318/how-i-met-your-mother-2x12-first-time-in-new-york"
35,2,13,22 Jan 07,"Columns","https://www.tvmaze.com/episodes/12319/how-i-met-your-mother-2x13-columns"
36,2,14,05 Feb 07,"Monday Night Football","https://www.tvmaze.com/episodes/12320/how-i-met-your-mother-2x14-monday-night-football"
37,2,15,12 Feb 07,"Lucky Penny","https://www.tvmaze.com/episodes/12321/how-i-met-your-mother-2x15-lucky-penny"
38,2,16,19 Feb 07,"Stuff","https://www.tvmaze.com/episodes/12322/how-i-met-your-mother-2x16-stuff"
39,2,17,26 Feb 07,"Arrivederci, Fiero","https://www.tvmaze.com/episodes/12323/how-i-met-your-mother-2x17-arrivederci-fiero"
40,2,18,19 Mar 07,"Moving Day","https://www.tvmaze.com/episodes/12324/how-i-met-your-mother-2x18-moving-day"
41,2,19,09 Apr 07,"Bachelor Party","https://www.tvmaze.com/episodes/12325/how-i-met-your-mother-2x19-bachelor-party"
42,2,20,30 Apr 07,"Showdown","https://www.tvmaze.com/episodes/12326/how-i-met-your-mother-2x20-showdown"
43,2,21,07 May 07,"Something Borrowed","https://www.tvmaze.com/episodes/12327/how-i-met-your-mother-2x21-something-borrowed"
44,2,22,14 May 07,"Something Blue","https://www.tvmaze.com/episodes/12328/how-i-met-your-mother-2x22-something-blue"
