number,season,episode,airdate,title,tvmaze link
378,6,1,05 May 14,"Series 6 Premiere","https://www.tvmaze.com/episodes/216473/masterchef-australia-6x01-series-6-premiere"
379,6,2,06 May 14,"Top 50: Core Skills Invention Test","https://www.tvmaze.com/episodes/216474/masterchef-australia-6x02-top-50-core-skills-invention-test"
380,6,3,07 May 14,"Top 24: Mystery Box Challenge","https://www.tvmaze.com/episodes/216475/masterchef-australia-6x03-top-24-mystery-box-challenge"
381,6,4,08 May 14,"Elimination Challenge: Chinese Fried Rice","https://www.tvmaze.com/episodes/216476/masterchef-australia-6x04-elimination-challenge-chinese-fried-rice"
382,6,5,11 May 14,"Mystery Box Challenge and Breakfast Invention Test","https://www.tvmaze.com/episodes/216477/masterchef-australia-6x05-mystery-box-challenge-and-breakfast-invention-test"
383,6,6,12 May 14,"Pressure Test: Shannon Bennett's Fillet of Beef","https://www.tvmaze.com/episodes/216478/masterchef-australia-6x06-pressure-test-shannon-bennetts-fillet-of-beef"
384,6,7,13 May 14,"Off-Site Challenge: Lunch Service in St Kilda","https://www.tvmaze.com/episodes/216479/masterchef-australia-6x07-off-site-challenge-lunch-service-in-st-kilda"
385,6,8,14 May 14,"Elimination Challenge: Three Dishes from One Snapper","https://www.tvmaze.com/episodes/216480/masterchef-australia-6x08-elimination-challenge-three-dishes-from-one-snapper"
386,6,9,18 May 14,"Mystery Box Challenge: Maggie Beer","https://www.tvmaze.com/episodes/216481/masterchef-australia-6x09-mystery-box-challenge-maggie-beer"
387,6,10,19 May 14,"Pressure Test: Alla Wolf-Tasker's Rivers and Lakes","https://www.tvmaze.com/episodes/216482/masterchef-australia-6x10-pressure-test-alla-wolf-taskers-rivers-and-lakes"
388,6,11,20 May 14,"Immunity Challenge: Ollie Gould & Kylie Kwong","https://www.tvmaze.com/episodes/216483/masterchef-australia-6x11-immunity-challenge-ollie-gould-kylie-kwong"
389,6,12,21 May 14,"Team Challenge: Three Course Menu from Memory","https://www.tvmaze.com/episodes/216484/masterchef-australia-6x12-team-challenge-three-course-menu-from-memory"
390,6,13,22 May 14,"Elimination Challenge in Three Rounds","https://www.tvmaze.com/episodes/216485/masterchef-australia-6x13-elimination-challenge-in-three-rounds"
391,6,14,25 May 14,"Mystery Box Challenge and Invention Test","https://www.tvmaze.com/episodes/216486/masterchef-australia-6x14-mystery-box-challenge-and-invention-test"
392,6,15,26 May 14,"Pressure Test","https://www.tvmaze.com/episodes/216487/masterchef-australia-6x15-pressure-test"
393,6,16,27 May 14,"Immunity Challenge: Benjamin Cooper","https://www.tvmaze.com/episodes/216488/masterchef-australia-6x16-immunity-challenge-benjamin-cooper"
394,6,17,28 May 14,"Team Challenge: Four-Course Dessert Menu","https://www.tvmaze.com/episodes/216489/masterchef-australia-6x17-team-challenge-four-course-dessert-menu"
395,6,18,29 May 14,"Elimination Challenge: Blind Taste Test","https://www.tvmaze.com/episodes/216490/masterchef-australia-6x18-elimination-challenge-blind-taste-test"
396,6,19,01 Jun 14,"Mystery Box Challenge","https://www.tvmaze.com/episodes/216491/masterchef-australia-6x19-mystery-box-challenge"
397,6,20,02 Jun 14,"Pressure Test: Saint Crispin","https://www.tvmaze.com/episodes/216492/masterchef-australia-6x20-pressure-test-saint-crispin"
398,6,21,03 Jun 14,"Immunity Challenge: Matt Stone","https://www.tvmaze.com/episodes/216493/masterchef-australia-6x21-immunity-challenge-matt-stone"
399,6,22,04 Jun 14,"Team Challenge: Queen Victoria Market","https://www.tvmaze.com/episodes/216494/masterchef-australia-6x22-team-challenge-queen-victoria-market"
400,6,23,05 Jun 14,"Elimination Challenge: Time Auction","https://www.tvmaze.com/episodes/216495/masterchef-australia-6x23-elimination-challenge-time-auction"
401,6,24,08 Jun 14,"Invention Test: Chocolate","https://www.tvmaze.com/episodes/216496/masterchef-australia-6x24-invention-test-chocolate"
402,6,25,09 Jun 14,"Pressure Test: Nobu Matsuhisa","https://www.tvmaze.com/episodes/216497/masterchef-australia-6x25-pressure-test-nobu-matsuhisa"
403,6,26,10 Jun 14,"Immunity Challenge","https://www.tvmaze.com/episodes/216498/masterchef-australia-6x26-immunity-challenge"
404,6,27,11 Jun 14,"Offsite Challenge: Wedding Anniversary at Ascot House","https://www.tvmaze.com/episodes/216499/masterchef-australia-6x27-offsite-challenge-wedding-anniversary-at-ascot-house"
405,6,28,12 Jun 14,"Elimination Challenge","https://www.tvmaze.com/episodes/216500/masterchef-australia-6x28-elimination-challenge"
406,6,29,15 Jun 14,"Mystery Box: Marco Pierre White","https://www.tvmaze.com/episodes/216501/masterchef-australia-6x29-mystery-box-marco-pierre-white"
407,6,30,16 Jun 14,"Pressure Test: White Heat","https://www.tvmaze.com/episodes/216502/masterchef-australia-6x30-pressure-test-white-heat"
408,6,31,17 Jun 14,"Immunity Challenge: Donovan Cooke","https://www.tvmaze.com/episodes/216503/masterchef-australia-6x31-immunity-challenge-donovan-cooke"
409,6,32,18 Jun 14,"Offsite Challenge: Taxi Kitchen","https://www.tvmaze.com/episodes/216504/masterchef-australia-6x32-offsite-challenge-taxi-kitchen"
410,6,33,19 Jun 14,"Elimination Challenge: Risotto","https://www.tvmaze.com/episodes/216505/masterchef-australia-6x33-elimination-challenge-risotto"
411,6,34,22 Jun 14,"Mystery Box Challenge","https://www.tvmaze.com/episodes/216506/masterchef-australia-6x34-mystery-box-challenge"
412,6,35,23 Jun 14,"Pressure Test: Vikas Khanna","https://www.tvmaze.com/episodes/216507/masterchef-australia-6x35-pressure-test-vikas-khanna"
413,6,36,24 Jun 14,"Mystery Box Challenge: Second Chances","https://www.tvmaze.com/episodes/216508/masterchef-australia-6x36-mystery-box-challenge-second-chances"
414,6,37,25 Jun 14,"Service Challenge: Starlight Children's Foundation","https://www.tvmaze.com/episodes/216509/masterchef-australia-6x37-service-challenge-starlight-childrens-foundation"
415,6,38,26 Jun 14,"Power Apron Mystery Box Challenge","https://www.tvmaze.com/episodes/216510/masterchef-australia-6x38-power-apron-mystery-box-challenge"
416,6,39,29 Jun 14,"Mystery Box Challenge & Invention Test","https://www.tvmaze.com/episodes/216511/masterchef-australia-6x39-mystery-box-challenge-invention-test"
417,6,40,30 Jun 14,"Pressure Test - Croquembouche","https://www.tvmaze.com/episodes/216512/masterchef-australia-6x40-pressure-test-croquembouche"
418,6,41,01 Jul 14,"Immunity Challenge","https://www.tvmaze.com/episodes/216513/masterchef-australia-6x41-immunity-challenge"
419,6,42,02 Jul 14,"Service Challenge: Banquet for 20 Food Producers","https://www.tvmaze.com/episodes/216514/masterchef-australia-6x42-service-challenge-banquet-for-20-food-producers"
420,6,43,03 Jul 14,"Elimination Challenge: Mexican","https://www.tvmaze.com/episodes/216515/masterchef-australia-6x43-elimination-challenge-mexican"
421,6,44,06 Jul 14,"Mystery Box Challenge: Barter","https://www.tvmaze.com/episodes/216516/masterchef-australia-6x44-mystery-box-challenge-barter"
422,6,45,07 Jul 14,"Pressure Test: Nick Palumbo's Choc-Top Ice Creams","https://www.tvmaze.com/episodes/216517/masterchef-australia-6x45-pressure-test-nick-palumbos-choc-top-ice-creams"
423,6,46,08 Jul 14,"Immunity Challenge: John Lawson","https://www.tvmaze.com/episodes/216518/masterchef-australia-6x46-immunity-challenge-john-lawson"
424,6,47,09 Jul 14,"Offsite Challenge: Asian","https://www.tvmaze.com/episodes/216519/masterchef-australia-6x47-offsite-challenge-asian"
