number,season,episode,airdate,title,tvmaze link
1,1,1,20 Oct 99,"I'm Luffy! The Man Who's Gonna Be King of the Pirates!","https://www.tvmaze.com/episodes/256125/one-piece-1x01-im-luffy-the-man-whos-gonna-be-king-of-the-pirates"
2,1,2,17 Nov 99,"Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!","https://www.tvmaze.com/episodes/256126/one-piece-1x02-enter-the-great-swordsman-pirate-hunter-roronoa-zoro"
3,1,3,24 Nov 99,"Morgan versus Luffy! Who's the Mysterious Pretty Girl?","https://www.tvmaze.com/episodes/256127/one-piece-1x03-morgan-versus-luffy-whos-the-mysterious-pretty-girl"
4,1,4,08 Dec 99,"Luffy's Past! Enter Red-Haired Shanks!","https://www.tvmaze.com/episodes/256128/one-piece-1x04-luffys-past-enter-red-haired-shanks"
5,1,5,15 Dec 99,"A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!","https://www.tvmaze.com/episodes/256129/one-piece-1x05-a-terrifying-mysterious-power-captain-buggy-the-clown-pirate"
6,1,6,29 Dec 99,"Desperate Situation! Beast Tamer Mohji vs. Luffy!","https://www.tvmaze.com/episodes/256130/one-piece-1x06-desperate-situation-beast-tamer-mohji-vs-luffy"
7,1,7,29 Dec 99,"Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!","https://www.tvmaze.com/episodes/256131/one-piece-1x07-epic-showdown-swordsman-zoro-vs-acrobat-cabaji"
8,1,8,29 Dec 99,"Who is the Victor? Devil Fruit Power Showdown!","https://www.tvmaze.com/episodes/256132/one-piece-1x08-who-is-the-victor-devil-fruit-power-showdown"
9,1,9,12 Jan 00,"The Honorable Liar? Captain Usopp!","https://www.tvmaze.com/episodes/256133/one-piece-1x09-the-honorable-liar-captain-usopp"
10,1,10,19 Jan 00,"The Weirdest Guy Ever! Jango the Hypnotist!","https://www.tvmaze.com/episodes/256134/one-piece-1x10-the-weirdest-guy-ever-jango-the-hypnotist"
11,1,11,26 Jan 00,"Expose the Plot! Pirate Butler, Captain Kuro!","https://www.tvmaze.com/episodes/256135/one-piece-1x11-expose-the-plot-pirate-butler-captain-kuro"
12,1,12,02 Feb 00,"Clash with the Black Cat Pirates! The Great Battle on the Slope!","https://www.tvmaze.com/episodes/256136/one-piece-1x12-clash-with-the-black-cat-pirates-the-great-battle-on-the-slope"
13,1,13,09 Feb 00,"The Terrifying Duo! Meowban Brothers vs. Zoro!","https://www.tvmaze.com/episodes/256137/one-piece-1x13-the-terrifying-duo-meowban-brothers-vs-zoro"
14,1,14,16 Feb 00,"Luffy Back in Action! Miss Kaya's Desperate Resistance!","https://www.tvmaze.com/episodes/256138/one-piece-1x14-luffy-back-in-action-miss-kayas-desperate-resistance"
15,1,15,23 Feb 00,"Beat Kuro! Usopp the Man's Tearful Resolve!","https://www.tvmaze.com/episodes/256139/one-piece-1x15-beat-kuro-usopp-the-mans-tearful-resolve"
16,1,16,01 Mar 00,"Protect Kaya! The Usopp Pirates' Great Efforts!","https://www.tvmaze.com/episodes/256140/one-piece-1x16-protect-kaya-the-usopp-pirates-great-efforts"
17,1,17,08 Mar 00,"Anger Explosion! Kuro vs. Luffy! How it Ends!","https://www.tvmaze.com/episodes/256141/one-piece-1x17-anger-explosion-kuro-vs-luffy-how-it-ends"
18,1,18,15 Mar 00,"You're the Weird Creature! Gaimon and His Strange Friends!","https://www.tvmaze.com/episodes/256142/one-piece-1x18-youre-the-weird-creature-gaimon-and-his-strange-friends"
19,1,19,22 Mar 00,"The Three-Sword Style's Past! Zoro and Kuina's Vow!","https://www.tvmaze.com/episodes/256143/one-piece-1x19-the-three-sword-styles-past-zoro-and-kuinas-vow"
20,1,20,12 Apr 00,"Famous Cook! Sanji of the Sea Restaurant!","https://www.tvmaze.com/episodes/256144/one-piece-1x20-famous-cook-sanji-of-the-sea-restaurant"
21,1,21,12 Apr 00,"Unwelcome Customer! Sanji's Food and Ghin's Debt!","https://www.tvmaze.com/episodes/256145/one-piece-1x21-unwelcome-customer-sanjis-food-and-ghins-debt"
22,1,22,26 Apr 00,"The Strongest Pirate Fleet! Commodore Don Krieg!","https://www.tvmaze.com/episodes/256146/one-piece-1x22-the-strongest-pirate-fleet-commodore-don-krieg"
